region,total_population,poverty_universe,people_below_poverty,total_housing_units,vacant_housing_units,population_65_plus,education_population_25_plus,bachelors_or_higher,poverty_rate,vacancy_rate,age_65_plus_rate,bachelors_or_higher_rate
Central,1728556,1657109,228403,802564,76251,324096,1165464,358799,13.783221260641273,9.500924536859365,18.749522723012735,30.785935901924038
Northeast,8844672,8696336,962161,3672078,235474,1407985,6116966,2592652,11.063981428500464,6.412554417417058,15.9190188172043,42.384607009422645
Northwest,838801,815394,110077,389563,37039,174918,585939,137627,13.49985405828348,9.507833136103788,20.853337084719737,23.488281203333454
Southern,1282769,1236861,164296,593247,72239,249215,898635,229071,13.28330345932162,12.176884164605974,19.427893876450085,25.490994675257472
