region,total_population_2021,total_population,population_change,population_pct_change,poverty_rate_2021,poverty_rate,poverty_rate_pp_change,vacancy_rate_2021,vacancy_rate,vacancy_rate_pp_change,bachelors_or_higher_rate_2021,bachelors_or_higher_rate,bachelors_or_higher_rate_pp_change
Northwest,849604,838801,-10803,-1.271533561518072,13.7,13.49985405828348,-0.200145941716519,10.5,9.507833136103788,-0.9921668638962124,22.1,23.48828120333345,1.3882812033334488
Central,1675008,1728556,53548,3.196880253706251,14.0,13.783221260641271,-0.2167787393587286,10.9,9.500924536859364,-1.3990754631406368,29.8,30.78593590192404,0.9859359019240408
Southern,1301700,1282769,-18931,-1.4543289544441884,13.7,13.28330345932162,-0.41669654067837847,12.9,12.176884164605974,-0.7231158353940259,23.8,25.490994675257472,1.6909946752574712
